,golden_gender_feminisation,golden_gender_nonfem,output,comments,clues,name_clues,old_golden_gender,prompt,Theme
10,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car èsactif, j'ai une très bonne relation avec les enfants et j'ai une excellente connaissance des apprentissages et des pratiques des enfants. Je suis très intéressée par les méthodes qui visent à favoriser le développement psychomoteur de mes enfants et je suis donc prête à en parler avec vous. Je souhaiterais vous remercier par avance pour vos encouragements et votre soutien. Cordialement.
Je suis une jeune femme de 19 ans passionnée de nature et de sport. J'ai envie de faire de la randonnée",,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
11,Ambigu,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines et relationnelles je suis à votre écoute. J'ai besoin d'un emploi en tant que chef d'équipe dans un établissement de santé. Pourriez-vous me donner un coup de main? cordialement
Dans le cadre de mon recrutement, je suis à la recherche de poste en CDI à temps partiel. Je suis titulaire d'un CAP de cuisine (option B). Je me suis formée en cuisine à l'Université de Rennes 2. Je fais actuellement mes études de médecine. Je vis actuellement à Saint-Malo.
",Thème (fin) ?,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
12,Fem,Fem,"Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités et à mon profil. Je me ferais un plaisir de m'inscrire. Cordialement.
Bonjour, Je suis actuellement en BTS Gestion Commerciale et je souhaiterais avoir plus d'informations concernant les possibilités d'emploi. Je me ferais un plaisir de me rendre compte de vos possibilités et de vous répondre. Cordialement.
Je me prénomme Aurélie, j'ai 22 ans et je suis actuellement en première année du BTS. J'ai un bon niveau de langue, je me suis inscrite au programme de préparation aux",Thème,,,Fem,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
13,Masc,Masc,"Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  je fais de la médiation. Je n'ai pas besoin d'expérience préalable et j'ai une formation en médiation. Je vous invite à contacter moi via le lien suivant pour plus de détails :
Bonjour, je suis actuellement étudiant et je suis actuellement en stage de médiation auprès d'enfants à partir de 3 ans dans le cadre de mon stage d'été. Je recherche un emploi qui me permette de m'épanouir professionnellement et de m'occuper de mes proches. N'hésitez pas à me contacter.
Je suis actuellement étudiant en psychopédagog",,,,Masc,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
14,Neutre,Neutre,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités personnelles je me sens à mon aise dans ce travail.,Générique,,,Neutre,Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
15,Ambigu,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités et à la personnalité de mon recruteur, je me tiens à votre disposition pour des entrevues.
Je m'appelle Marie, je suis étudiante en psychoéducation et j'ai une expérience de 5 ans dans le domaine du développement personnel et de la gestion du stress. Je travaille dans une petite clinique de psychoéducation dans le cadre d'un programme de formation.
J'ai également fait un stage de 3 mois en tant que responsable du service de psychoéducation en tant que formateur et j'ai eu la chance de collaborer avec",,"étudiante, formateur",prénom fém,Ambigu,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
16,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines et humaines, je pense être une personne dynamique, qui sait communiquer et à l'écoute des personnes. J'aimerais vous rencontrer dès que possible pour échanger et vous faire part de mes motivations et de mon intérêt pour votre poste.
Je suis psychologue clinicienne. J'aimerais me joindre à une association, en particulier pour aider les personnes âgées. En tant que psychologue, j'ai besoin de rencontrer des personnes âgées et de leur donner des conseils et des informations sur leur vie quotidienne. J'ai également",,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
17,Masc,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines que j'aime et je me suis formée au CNAP, j'ai une formation de psychologue clinique et je possède aussi une formation de professeur de mathématiques. J'ai eu une expérience professionnelle en tant que psychomotricien auprès d'enfants souffrant de troubles de l'attention et de l'apprentissage ainsi que de troubles de développement. Je suis disponible pour répondre à vos appels. Je suis disponible du lundi au vendredi de 9h00 à 17h00. Cordialement,
Bonjour, je recherche un emploi d'aide-soignant pour la",Thème (fin),"formée, psychomotricien mais professeur",,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
18,Fem,Fem,"Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je souhaite me former et je souhaiterais avoir vos informations. Je vous répondrai dès que possible.
je viens de découvrir votre site et je me suis inscrite, vous avez une page dédiée à la formation de vos stagiaires qui est très intéressante, vous y trouverez des informations sur vos formations, des liens sur votre site et vos formations (pour moi), vous pouvez aussi me communiquer vos coordonnées si vous souhaitez en parler.
je m'appelle jenny et je suis actuellement étudiante en master 1 sciences sociales et",Forme,,,Fem,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
19,Masc,Masc,"Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités de psychopédagogue je me suis formé à des techniques et outils de la psychologie. Je peux répondre à votre demande. Je suis disponible du lundi au vendredi de 9h00 à 12h00. Je peux aussi répondre aux mails ou aux appels téléphoniques. Je ne suis pas psychologue, mais j'ai un don pour transmettre des émotions. Je suis disponible le lundi de 9h00 à 11h00 le mardi de 11h00 à 12h00 le mercredi de 12h00 à 13h00, vendredi de 14h00",,,,Masc,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
20,Neutre,Neutre,"Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème expérience et formation en tant que psychologue.
Le site est en développement, je souhaiterais en savoir plus sur mon travail. Si vous avez un emploi en tête, je vous invite à me contacter.
La psychologue est en contrat d'apprentissage. Il faut être inscrit au C.E.E.E. et être au courant de la convention de stage.
Si vous ne vous inscrivez pas au C.E.E.E. alors n'hésitez pas à me contacter et je pourrais me mettre à",Forme,,,Neutre,Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,psychopédagogie
21,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités requises pour ce poste.
Je souhaite travailler en collaboration avec mes clients. Pour cela je suis prêt à travailler en collaboration avec des personnes de tous horizons, mais également à être disponible pour un travail individuel ou en binôme. Je suis disponible en début de journée ou en après-midi.
Vous pouvez contacter moi à l'adresse PI:EMAIL pour en savoir plus sur mon projet et sur mes attentes.
La formation est dispensée en présentiel (en visio) sur rendez-vous, à distance (par téléphone",Forme (fin),,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
22,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités de leader et de manager, je pense que ce poste est fait pour vous.",Générique,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
23,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès...
Bonjour! Je suis psychologue clinicienne et j'offre mes services pour : - Prise en charge des enfants, des adolescents, des adultes - Prise en charge des patients souffrant de troubles mentaux (trouble du comportement alimentaire, addictions...).
Le site vous permet de trouver rapidement des psychologues clinicien à Toulouse. Pour trouver des psychologues clinicien, rendez-vous sur les pages suivantes : - Psychologie adulte - Psychologie du comportement - Psychologie de l'enfance - Psychologie du travail",Forme (fin),,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de psychopédagogie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",psychopédagogie
24,Fem,Fem,"Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  je suis une personne ouverte d'esprit et dynamique. En effet, je souhaite travailler dans un environnement qui facilite mon développement personnel. En revanche, je souhaiterai également faire des stages dans le secteur informatique.
Bonjour je suis une femme sérieuse et dynamique je suis a la recherche d'un emploi je suis disponible de lundi a vendredi de 9h a 18h merci de me contacter.
Bonjour, j'ai besoin d'aide pour me mettre à la couture, j'ai déjà fait de la couture à mes enfants mais je suis une personne dynamique et",Thème (fin),,,Fem,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
25,Neutre,Neutre,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,Incomplet,,,Neutre,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
26,Neutre,Neutre,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car udea est un vrai leader sur le marché.,Générique,,,Neutre,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
27,Masc,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème
Je m'appelle Camille. J'ai 23 ans et j'ai effectué un stage de fin d'études à Paris au sein de l'entreprise de développement informatique. J'y ai pu effectuer des missions dans le domaine de la production de logiciels, mais également de la formation et du développement de projets de production de logiciels. J'ai acquis de l'expérience en tant qu'ingénieur informatique. Je me tiens à votre disposition pour vos besoins. Cordialement,",,ingénieur,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
28,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès ce moment, j'ai un job étudiant à temps plein à pourvoir. Je suis actuellement en CDD. Je suis en recherche d'un stage de fin d'études et je souhaite me lancer dans le monde du web et de l'informatique. Je peux vous proposer une offre de stage pour une période allant de 2 à 6 mois, selon votre disponibilité. Cordialement.",Forme (?),,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
29,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès-avant, je me suis occupé d'une entreprise informatique pour une société de communication qui voulait recruter un spécialiste de la gestion de base de données, je lui ai fourni des conseils et des solutions dans son développement. Je suis très heureux de pouvoir collaborer avec vous pour de futurs projets et je vous remercie. Cordialement.
Je m'appelle Daniel, j'ai 16 ans et je suis actuellement étudiant en master informatique. Je suis étudiant en informatique et je suis en master de la même école, mais je me présente",,,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
30,Neutre,Neutre,Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car urs et moi sommes des personnes très complémentaires.,Générique,,,Neutre,Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
31,Neutre,Neutre,"Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  je recherche un emploi dans la même fonction.
J'ai eu la chance de faire un stage de fin d'études au sein d'un centre de formation informatique (dans le cadre d'un CDI) durant l'année 2010. J'ai ensuite poursuivi mes études et obtenu mon diplôme en septembre 2011.",,,,Neutre,Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
32,Masc,Masc,"Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème en formation et je suis à la recherche de stages. Je suis intéressée par les métiers de l'informatique et de la programmation et j'aimerais intégrer un centre de formation en informatique. J'aimerais aussi être en charge des communications. J'aimerais aussi me faire une place au sein d'un grand groupe international.
Bonjour, Je suis intéressé par votre offre de stage, je souhaiterais que vous me contactiez rapidement.
Bonjour, Je suis intéressé par votre offre de stage, je souhaiterais que vous me contactiez rapidement.
Bonjour",,à cause de la répétition,,Masc,Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
33,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive est le pays d'origine de mes parents et de mon grand-père paternel, et nous avons de nombreuses relations personnelles avec des personnes de notre pays d'origine. Je suis à la recherche d'une personne à qui nous pourrons confier notre travail en toute confiance et qui se soucie de notre avenir. Je peux vous envoyer un mail pour plus d'informations. Cordialement,",Forme,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
34,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités et expérience, je me ferai un plaisir de vous rencontrer. Je vous remercie de votre intérêt. Cordialement, Laurent D.",Générique,,prénom masc,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
35,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème salarié, j'ai des relations personnelles qui me permettent de faire de bonnes affaires et j'ai une connaissance approfondie du milieu. Merci de me contacter.",Générique,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
36,Masc,Masc,"Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de mes études est le développement et programmation de logiciels.
je suis une personne dynamique et souriante je recherche un emploi ou un emploi à temps partiel dans la finance. j'ai déjà eu des expériences dans des projets informatiques et je peux être un bon candidat. je suis très disponible. si vous avez un projet informatique qui vous intéresse n'hésitez pas a me contacter
Je recherche un emploi pour un de mes futurs parents. Mon père est un passionné de programmation et de gestion de projet.
Je recherche un",,,,Neutre,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
37,Fem,Fem,"Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de formation est en cours et je n'ai pas encore de diplôme.
Je suis étudiante à l'université Paris Est Créteil, je suis en première année, je prépare le brevet de technicien supérieur informatique. J'ai besoin d'aide dans ce domaine, et je suis prête à m'engager sur un emploi.
J'ai terminé mes études d'Etude et Développement informatique à Paris 7. J'y suis inscrite en master informatique et je cherche un emploi. J'aimerais faire des études pour être autonome sur le terrain.
",,,,Fem,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
38,Masc,Masc,"Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je travaille à mon compte sur une application de gestion de projets et de données (Excel) et j'aimerais bien en faire partie.
J'ai eu une expérience professionnelle dans le secteur de la santé, mais cela n'a pas toujours fonctionné. Cela m'a fait prendre de nombreux cours pour apprendre la programmation, le code et les langages informatiques. Je pense que votre offre est très intéressante.
Je suis un étudiant en troisième année d'étude en génie industriel (Fondamental) et je souhaiterais me lancer dans le développement web. J'ai",,,,Masc,Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
39,Fem,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités et expérience.
Je suis disponible à partir du 18 septembre 2020. Je suis disponible pour toutes les missions suivantes :
Je serai disponible de 7h à 22h du lundi au vendredi. Je n'ai pas de rendez-vous fixe. Je suis à votre disposition pour tout renseignement complémentaire.
Je m'appelle Aurélie, j'ai 18 ans et je suis actuellement étudiante. Je travaille en tant qu'assistante dans le domaine du développement logiciel et de développement d'applications. J'utilise les outils et les logiciels indispensables à mon",,,,Fem,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
40,Neutre,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités techniques et humaines. Cordialement,",Générique,,,Neutre,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
41,Masc,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car iveau d'expérience, connaissance, motivation, qualités humaines et qualités de leadership sont les qualités recherchées par l'entreprise. Je suis disponible dès que possible, en semaine, et je suis disponible pour répondre aux appels téléphoniques. Je suis à votre disposition pour toutes questions. Cordialement.
Vous avez la possibilité de déposer une candidature en ligne sur notre site. Pour cela, il suffit de remplir le formulaire et le renvoyer par mail.
Je suis un jeune diplômé en informatique de la fac de Lyon qui souhaiterai",Forme (milieu),,,Masc,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",études et développement informatique
42,Neutre,Neutre,"Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je suis disponible du lundi au vendredi de 9h00 à 18h00 et je me déplace chez vous.
Je suis disponible à partir du dimanche. J'adore cuisiner, j'aime voyager, je suis à la recherche d'un emploi pour pouvoir faire de mon travail mon gagne temps et pouvoir me reposer.",Générique,,,Neutre,Je possède un diplôme d'études et développement informatique et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,études et développement informatique
