topic,gap
animation touristique et culturelle,11.400000000000002
"ressources humaines, gestion de l'emploi",11.3
journalisme et communication,11.299999999999997
psychologie clinique,9.600000000000001
"langues vivantes, civilisations étrangères et régionales",8.900000000000002
assistance médico-technique,8.900000000000002
conseil en information médicale,8.600000000000001
biochimie des produits alimentaires,8.099999999999998
psychologie,6.700000000000003
fabrication textile,5.9999999999999964
"littérature appliquée à la documentation, communication, lettres et enseignement",4.899999999999999
art dramatique,3.900000000000002
"français, littérature et civilisation française",3.8000000000000007
direction des centres de loisirs ou culturels,3.6999999999999993
costume et habillage spectacle,2.3000000000000007
intervention socioéducative,1.5
animation de loisirs auprès d'enfants ou d'adolescents,1.5
accueil touristique,0.7000000000000028
arts du cirque et arts visuels,0.6999999999999957
sciences sociales,0.0
aide et médiation judiciaire,-0.8000000000000043
"traduction, interprétariat",-1.5
sociologie et travail social,-1.5
psychopédagogie,-1.5
interprétariat et traduction,-2.3000000000000007
orthophonie,-3.700000000000003
linguistique et didactique des langues,-3.8000000000000007
"traduction,interprétariat",-4.800000000000001
éducation de jeunes enfants,-5.399999999999999
"pâtisserie,confiserie,chocolaterie et glacerie",-6.0
psychologie de la santé,-6.100000000000001
arts plastiques,-6.100000000000001
maquillage de scène,-6.200000000000003
création textile,-7.399999999999999
toilettage des animaux,-8.399999999999999
services domestiques,-8.500000000000004
soins infirmiers spécialisés en anesthésie,-9.400000000000002
travail social,-9.699999999999996
stylisme,-10.5
esthétique,-12.400000000000002
"coiffure, esthétique et autres spécialites de services aux personnes",-13.299999999999997
soins infirmiers généralistes,-13.899999999999999
retouches en habillement,-14.2
diététique,-16.0
accompagnement et médiation familiale,-16.2
danse,-18.5
secrétariat comptable,-18.7
"dentellerie, broderie",-20.500000000000004
secrétariat et assistanat médical ou médico-social,-21.1
coiffure,-21.3
aide en puériculture,-22.7
mannequinat et pose artistique,-24.2
soins infirmiers spécialisés en puériculture,-32.9
